Journal,Quartile,IF
biology open,Q3,1.8
biology philosophy,Q1,1.3
biomacromolecules,Q1,5.9
biomarker insights,Q3,1.9
biomarker research,Q1,14.6
biomarkers,Q3,2.2
biomarkers in medicine,Q3,2.1
biomass bioenergy,Q1,7
biomass conversion and biorefinery,Q2,4.3
biomass switzerland,Q1,6.1
biomaterials,Q1,13.6
biomaterials advances,Q1,6.7
biomaterials research,Q1,9.8
biomaterials science,Q2,6.1
biomechanics,Q3,1.4
biomechanics and modeling in mechanobiology,Q2,3
biomed research international,Q3,2.9
biomedica,Q4,0.7
biomedical and biotechnology research journal,Q4,1
biomedical and environmental sciences,Q1,4.5
biomedical chromatography,Q3,1.7
biomedical engineering,Q4,0.3
biomedical engineering and computational biology,Q3,2.9
biomedical engineering applications basis communications,Q4,1
biomedical engineering biomedizinische technik,Q4,1.3
biomedical engineering letters,Q2,3.4
biomedical engineering online,Q2,4.6
biomedical human kinetics,Q4,1.4
biomedical journal,Q1,6.3
biomedical materials,Q2,3.9
biomedical microdevices,Q2,4.4
biomedical optics express,Q2,3.2
biomedical papers olomouc,Q4,0.8
biomedical physics engineering express,Q3,2
biomedical reports,Q3,2.5
biomedical research and therapy,Q4,0.6
biomedical research tokyo,Q4,1.5
biomedical signal processing and control,Q2,5.7
biomedical technology,Q1,16.4
biomedicine taiwan,Q1,3
biomedicines,Q2,4.5
biomedinformatics,Q1,3.6
biometals,Q2,4
biometrical journal,Q1,2.1
biometrics,Q2,1.6
biometrika,Q1,2.8
biomicrofluidics,Q2,2.7
biomimetic intelligence and robotics,Q1,8.6
biomimetics,Q1,4.2
biomolecular concepts,Q3,3.2
biomolecular nmr assignments,Q4,0.5
biomolecules,Q1,5.6
biomolecules and biomedicine,Q3,2.8
biomolecules therapeutics,Q1,4.9
bionanoscience,Q3,4
bioorganic chemistry,Q1,5.1
bioorganic medicinal chemistry,Q1,3.5
bioorganic medicinal chemistry letters,Q2,2.3
biopharm international,Q4,0.6
biopharmaceutics drug disposition,Q3,2.2
biophysica,Q4,1.8
biophysical chemistry,Q3,2.3
biophysical journal,Q2,3.7
biophysical reports,Q3,2.6
biophysical reviews,Q1,5
biophysics and physicobiology,Q4,1.4
biophysics reviews,Q1,4.5
biopolymers,Q2,2.9
biopreservation and biobanking,Q3,1.7
bioprocess and biosystems engineering,Q2,4.3
biopsychosocial medicine,Q2,2.1
biopsychosocial science and medicine,,N/A
bioremediation journal,Q4,1.7
bioresource technology,Q1,8.2
bioresource technology reports,Q1,5
bioresources,Q2,2.2
bioresources and bioprocessing,Q1,6.3
biorheology,Q3,2.3
biosafety and health,Q2,2.8
bioscience,Q1,9.5
bioscience biotechnology and biochemistry,Q4,1.5
bioscience journal,Q3,0.6
bioscience of microbiota food and health,Q3,2.1
bioscience reports,Q2,4.5
bioscience trends,Q1,4.9
bioscope south asian screen studies,,0.4
biosemiotics,Q1,1.6
biosensors basel,Q1,6.2
biosensors bioelectronics,Q1,11.8
biosocieties,Q4,1.2
biostatistics,Q1,2.1
biosurface and biotribology,Q4,1.7
biosystems,Q2,2.1
biosystems diversity,Q4,1.3
biosystems engineering,Q1,7.8
biota neotropica,Q4,1.2
biotech,Q2,3.6
biotechnic histochemistry,Q4,1.4
biotechniques,Q3,2.6
biotechnologie agronomie societe et environnement,Q3,0.9
biotechnology advances,Q1,14.1
biotechnology and applied biochemistry,Q3,2.5
biotechnology and bioengineering,Q2,3.9
biotechnology and bioprocess engineering,Q3,2.8
biotechnology and genetic engineering reviews,Q3,2.4
biotechnology biotechnological equipment,Q4,1.4
biotechnology for biofuels and bioproducts,Q1,6
biotechnology journal,Q2,3.7
biotechnology law report,Q4,0.3
biotechnology letters,Q3,2.5
biotechnology progress,Q3,2.8
biotecnia,Q4,0.7
biotropica,Q3,1.9
bipolar disorders,Q1,3.9
bird conservation international,Q1,1.9
bird study,Q2,1.3
birds,Q1,1.7
birth defects research,Q3,2
birth issues in perinatal care,Q2,2.3
bit numerical mathematics,Q2,1.6
bitacora urbano territorial,Q4,0.3
biznes informatika business informatics,Q4,0.4
bja education,Q2,2.7
bja open,Q1,3.5
bjc reports,Q2,3.8
bjgp open,Q2,2.4
bjog an international journal of obstetrics and gynaecology,Q1,4.8
bjpsych advances,Q4,1.3
bjpsych bulletin,Q2,2.9
bjpsych international,Q3,1.9
bjpsych open,Q1,4
bjr case reports,Q4,0.6
bjr open,Q2,3.5
bjs british journal of surgery,Q1,9.4
bjs open,Q1,4.9
bju international,Q1,4.1
bjui compass,Q3,2
black camera,,0.1
black scholar,Q4,0.4
black theology,,0.2
bladder cancer,Q2,2.2
bleeding thrombosis and vascular biology,Q4,0.5
blockchain research and applications,Q1,6.5
blood,Q1,23.9
blood advances,Q1,7.7
blood and lymphatic cancer targets and therapy,Q2,3.2
blood cancer discovery,Q1,12.2
blood cancer journal,Q1,13.8
blood cells molecules and diseases,Q3,2.1
blood coagulation fibrinolysis,Q4,1
blood pressure,Q2,2.8
blood pressure monitoring,Q4,1
blood purification,Q2,2.2
blood research,Q2,3.7
blood reviews,Q1,7.2
blood science,Q2,3.6
blood transfusion,Q2,2.7
blue green systems,Q2,3.2
blumea,Q4,0.5
bmb reports,Q2,4.1
bmc anesthesiology,Q2,3.2
bmc bioinformatics,Q1,4.4
bmc biology,Q1,5.4
bmc biotechnology,Q2,4.8
bmc cancer,Q2,4.1
bmc cardiovascular disorders,Q2,3.1
bmc chemistry,Q2,5.1
bmc complementary medicine and therapies,Q1,4.4
bmc digital health,Q2,3.2
bmc ecology and evolution,Q2,2.7
bmc emergency medicine,Q2,3.1
bmc endocrine disorders,Q2,3.7
bmc gastroenterology,Q2,3.2
bmc genomic data,Q3,2.5
bmc genomics,Q2,3.9
bmc geriatrics,Q1,4.5
bmc global and public health,Q1,5.1
bmc health services research,Q2,3.3
bmc immunology,Q3,2.9
bmc infectious diseases,Q2,3.2
bmc medical education,Q1,4.2
bmc medical ethics,Q1,3.8
bmc medical genomics,Q2,2.6
bmc medical imaging,Q1,3.9
bmc medical informatics and decision making,Q2,5.5
bmc medical research methodology,Q2,3.7
bmc medicine,Q1,8.7
bmc microbiology,Q1,5.4
bmc molecular and cell biology,Q3,3
bmc musculoskeletal disorders,Q2,2.8
bmc nephrology,Q2,2.9
bmc neurology,Q3,2.6
bmc neuroscience,Q2,3.3
bmc nursing,Q1,5.2
bmc nutrition,Q3,2.7
bmc ophthalmology,Q3,2.1
bmc oral health,Q1,3.8
bmc palliative care,Q1,3.7
bmc pediatrics,Q2,2.3
bmc pharmacology toxicology,Q2,3.5
bmc plant biology,Q1,5.6
bmc pregnancy and childbirth,Q1,3.1
bmc primary care,Q1,2.9
bmc psychiatry,Q1,4.6
bmc psychology,Q1,4.6
bmc public health,Q1,4.4
bmc pulmonary medicine,Q2,3.1
bmc research notes,Q2,1.7
bmc rheumatology,Q2,3.1
bmc sports science medicine and rehabilitation,Q1,3.4
bmc surgery,Q2,2.4
bmc urology,Q2,2.3
bmc veterinary research,Q1,3.1
bmc womens health,Q1,3.3
bmc zoology,Q1,2.2
bme frontiers,Q1,9.1
bmemat,Q1,17.2
bmgn the low countries historical review,Q1,0.5
bmj british medical journal,Q1,55.1
bmj case reports,Q4,0.4
bmj evidence based medicine,Q1,10.8
bmj global health,Q1,5.8
bmj health care informatics,Q1,6.2
bmj innovations,Q3,1.6
bmj leader,Q2,2.4
bmj medicine,Q1,9.3
bmj mental health,Q1,6.6
bmj military health,Q2,1.7
bmj neurology open,Q3,2.6
bmj nutrition prevention health,Q3,2.6
bmj open,Q2,2.5
bmj open diabetes research care,Q2,4.4
bmj open gastroenterology,Q3,2.6
bmj open ophthalmology,Q2,2.7
bmj open quality,Q2,2.1
bmj open respiratory research,Q2,4
bmj open sport exercise medicine,Q1,3.2
bmj paediatrics open,Q1,2.6
bmj public health,Q3,1.7
bmj quality safety,Q1,6.8
bmj sexual reproductive health,Q1,3.2
bmj supportive palliative care,Q2,2.5
bmj surgery interventions health technologies,Q1,2.8
bms bulletin of sociological methodology bulletin de methodologie sociologique,Q4,0.3
body image,Q1,6
body movement and dance in psychotherapy,Q4,0.9
body society,Q3,1.5
bogoslovni vestnik theological quarterly ephemerides theologicae,,0.4
bogoslovska smotra ephemerides theologicae zagrabienses,,0.1
bois et forets des tropiques,Q3,1.1
boletim de ciencias geodesicas,Q4,0.7
boletim de estudos classicos,,0.1
boletim de industria animal,Q4,<0.1
boletim do arquivo da universidade de coimbra,Q3,0.1
boletim do instituto de pesca,Q3,0.8
boletim sociedade paranaense de matematica,Q3,0.6
boletin academico revista de investigacion y arquitectura contemporanea,,<0.1
boletin americanista,Q4,<0.1
boletin antropologico,Q4,<0.1
boletin de arte,,<0.1
boletin de arte uma,,<0.1
boletin de ciencias de la tierra,Q4,0.4
boletin de geologia,Q4,0.4
boletin de la asociacion de geografos espanoles,Q3,0.9
boletin de la asociacion internacional de derecho cooperativo international association of cooperative law journal,Q3,0.5
boletin de la real academia espanola,,0.2
boletin de la sociedad argentina de botanica,Q4,0.6
boletin de la sociedad espanola de ceramica y vidrio,Q2,2.7
boletin de la sociedad geologica mexicana,Q4,0.4
boletin de la sociedad matematica mexicana,Q2,0.9
boletin de literatura oral,,0.5
boletin de matematicas,Q4,0.2
boletin de pediatria,Q4,<0.1
boletin del archivo general de la nacion,Q4,<0.1
boletin del grupo espanol del carbon,Q4,0.1
boletin del museo chileno de arte precolombino,,0.8
boletin geografico,Q4,<0.1
boletin geologico y minero,Q4,0.4
boletin goiano de geografia,Q4,0.1
boletin latinoamericano y del caribe de plantas medicinales y aromaticas,Q4,0.8
boletin medico del hospital infantil de mexico,Q4,0.7
bollettino della societa paleontologica italiana,Q1,2.2
bollettino della unione matematica italiana,Q3,0.7
bollettino di storia delle scienze matematiche,Q4,0.2
bollettino filosofico,,<0.1
bone,Q2,3.9
bone joint journal,Q1,4.8
bone joint open,Q1,3.3
bone joint research,Q1,5.5
bone marrow transplantation,Q1,5.1
bone reports,Q3,3.1
bone research,Q1,20.1
book collector,,0.1
book history,Q2,0.4
bookbird a journal of international childrens literature,,0.3
borderline personality disorder and emotion dysregulation,Q2,3.2
bordon revista de pedagogia,Q3,0.9
boreal environment research,Q4,1.5
boreas,Q3,2.3
borsa istanbul review,Q1,5.7
bosniaca journal of the national and university library of bosnia and herzegovina,Q4,0.1
bosque,Q4,0.7
boston university law review,Q1,1.5
botanica marina,Q3,1.6
botanica serbica,Q4,1
botanical journal of the linnean society,Q2,2.1
botanical review,Q1,5.4
botanical sciences,Q3,1.1
botanical studies,Q2,3.3
botany,Q3,1.4
botany letters,Q3,1.2
bothalia,Q4,1
bottom line,Q1,4.5
boundary 2 an international journal of literature and culture,Q2,0.7
boundary layer meteorology,Q3,2.6
boundary value problems,Q1,2.3
boyhood studies an interdisciplinary journal,Q3,0.5
brac barcelona research art creation,,0.1
brachytherapy,Q3,1.7
bradleya,Q4,0.7
bragantia,Q2,1.8
brain,Q1,12.6
brain and behavior,Q2,2.8
brain and cognition,Q3,2.1
brain and language,Q1,2.4
brain and spine,Q3,2.7
brain behavior and evolution,Q3,1.2
brain behavior and immunity,Q1,7.5
brain behavior immunity health,Q2,3.8
brain broad research in artificial intelligence and neuroscience,Q4,0.6
brain circulation,Q1,5.2
brain communications,Q1,4.5
brain computer interfaces,Q3,2.6
brain connectivity,Q3,2.3
brain development,Q3,1.7
brain hemorrhages,Q3,2
brain imaging and behavior,Q2,2.8
brain impairment,Q3,1.5
brain informatics,Q1,8.3
brain injury,Q3,1.5
brain mechanisms,,N/A
brain pathology,Q1,5
brain research,Q3,3.2
brain research bulletin,Q2,4.5
brain sciences,Q2,3.4
brain stimulation,Q1,9.7
brain structure function,Q1,3
brain topography,Q1,5.3
brain tumor pathology,Q2,2.2
brain x,Q1,6.4
bratislava law review,Q3,0.5
bratislava medical journal,Q2,1.4
brazilian administration review,Q4,0.9
brazilian archives of biology and technology,Q3,1
brazilian journal of analytical chemistry,Q4,1
brazilian journal of anesthesiology,Q2,2.2
brazilian journal of botany,Q3,1.7
brazilian journal of cardiovascular surgery,Q3,1.4
brazilian journal of chemical engineering,Q3,1.7
brazilian journal of geology,Q4,1.1
brazilian journal of hygiene and animal sanity,Q4,<0.1
brazilian journal of infectious diseases,Q3,2
brazilian journal of medical and biological research,Q2,1.9
brazilian journal of microbiology,Q4,2.1
brazilian journal of motor behavior,Q4,0.5
brazilian journal of operations production management,Q3,1.6
brazilian journal of otorhinolaryngology,Q2,1.8
brazilian journal of pharmaceutical sciences,Q4,0.9
brazilian journal of physical therapy,Q1,3.6
brazilian journal of physics,Q2,1.8
brazilian journal of poultry science,Q3,1.3
brazilian journal of probability and statistics,Q4,0.6
brazilian journal of psychiatry,Q2,2.9
brazilian journalism research,Q4,0.5
brazilian neurosurgery arquivos brasileiros de neurocirurgia,Q4,0.2
brazilian oral research,Q3,1.4
breast,Q1,5.2
breast cancer,Q1,3.7
breast cancer basic and clinical research,Q3,2.2
breast cancer research,Q1,6.2
breast cancer research and treatment,Q2,3.3
breast cancer targets and therapy,Q2,3.6
breast care,Q2,2.3
breast journal,Q2,2.4
breastfeeding medicine,Q2,2.1
breathe,Q1,4.5
breeding science,Q2,1.7
bresil s,Q4,<0.1
brewing science,Q4,0.7
brics law journal,Q2,0.7
bridge structures,Q4,0.9
briefings in bioinformatics,Q1,7.3
briefings in functional genomics,Q2,3.2
brills annual of afroasiatic languages and linguistics,,0.4
britain and the world,Q3,0.2
britannia,Q2,0.4
british accounting review,Q1,8
british and american studies,,<0.1
british catholic history,Q3,0.1
british columbia medical journal,Q3,0.7
british dental journal,Q2,2.7
british educational research journal,Q1,3.3
british food journal,Q1,4.4
british journal for the history of mathematics,Q4,0.4
british journal for the history of philosophy,,0.6
british journal for the history of science,Q2,0.9
british journal for the philosophy of science,Q1,3.1
british journal of aesthetics,,0.9
british journal of american legal studies,Q4,0.2
british journal of anaesthesia,Q1,10.3
british journal of biomedical science,Q1,11.9
british journal of canadian studies,,0.2
british journal of cancer,Q1,7.8
british journal of clinical pharmacology,Q2,3
british journal of clinical psychology,Q2,2.3
british journal of criminology,Q1,2.5
british journal of dermatology,Q1,8.2
british journal of developmental psychology,Q3,1.8
british journal of diabetes,Q4,0.4
british journal of educational psychology,Q1,4.5
british journal of educational studies,Q1,2.5
british journal of educational technology,Q1,13
british journal of general practice,Q1,5.1
british journal of guidance counselling,Q3,1.5
british journal of haematology,Q2,3.6
british journal of health psychology,Q1,3.1
british journal of hospital medicine,Q2,1.7
british journal of industrial relations,Q2,1.8
british journal of learning disabilities,Q2,1.6
british journal of management,Q1,6.5
british journal of mathematical statistical psychology,Q1,1.9
british journal of middle eastern studies,Q1,0.8
british journal of music education,Q3,1
british journal of music therapy,Q4,1
british journal of neurosurgery,Q4,0.8
british journal of nutrition,Q2,3.1
british journal of occupational therapy,Q3,1.5
british journal of ophthalmology,Q1,4.5
british journal of oral maxillofacial surgery,Q2,2
british journal of pain,Q2,2.8
british journal of pharmacology,Q1,7.5
british journal of political science,Q1,4.6
british journal of politics international relations,Q2,2.4
british journal of psychiatry,Q1,8.5
british journal of psychology,Q1,3.6
british journal of psychotherapy,Q4,0.5
british journal of radiology,Q2,3.4
british journal of religious education,Q3,1.1
british journal of social psychology,Q1,3.8
british journal of social work,Q1,2.2
british journal of sociology,Q1,2.6
british journal of sociology of education,Q2,2.1
british journal of special education,Q3,1.2
british journal of sports medicine,Q1,15.5
british journal of visual impairment,Q4,1
british journalism review,Q4,0.1
british medical bulletin,Q1,7.5
british politics,Q3,1.3
british poultry science,Q3,1.7
brittonia,Q4,0.7
brock education a journal of educational research and practice,Q3,0.9
brodogradnja,Q1,4.7
bronte studies,,0.3
brookings papers on economic activity,Q1,3.2
brq business research quarterly,Q2,3.2
brumal research journal on the fantastic,,0.5
bruniana campanelliana,,<0.1
bruno pini mathematical analysis seminar,Q3,0.6
